le_gender,le_color1,le_color2,le_breed1,le_breed2,le_intake_type,le_intake_condition,le_intake_sex,le_outcome_type,le_outcome_sex,le_outcome_d_m,le_intake_d_m,Outcome_Age_Month,Duration_Day
1,6,30,217,61,3,5,1,5,1,4,4,154,0.22847222222222224
1,12,36,217,81,3,5,1,5,1,5,5,172,1.1041666666666667
1,19,30,218,106,3,5,1,5,1,0,0,123,0.03125
1,34,1,24,120,3,5,1,5,1,11,11,127,0.7069444444444445
1,12,33,174,106,1,0,1,7,1,10,10,129,12.202083333333333
0,32,36,218,106,3,5,2,5,2,4,4,111,10.691666666666666
0,2,33,316,106,3,9,2,5,2,8,8,121,1.7604166666666667
1,2,36,294,97,3,9,1,5,1,3,3,128,1.1291666666666669
1,2,20,241,106,3,5,1,5,1,2,2,150,2.111805555555556
0,34,30,208,166,1,5,2,0,2,3,3,115,3.869444444444445
0,34,30,208,166,1,5,2,0,2,3,3,115,7.004166666666666
1,34,10,280,106,3,5,1,5,1,0,0,166,0.07013888888888889
1,26,10,274,166,3,5,1,5,1,6,6,138,0.09791666666666668
0,19,36,218,106,3,5,2,5,2,5,5,144,3.0548611111111112
0,26,36,124,166,3,5,2,5,2,0,0,175,0.21458333333333326
1,34,17,173,136,3,5,1,5,1,2,2,104,0.16319444444444445
1,12,33,124,114,3,5,1,5,1,9,9,127,0.15208333333333332
0,18,33,218,106,3,5,2,5,2,0,0,116,0.7923611111111111
1,26,36,217,127,2,5,1,5,1,0,3,129,6.925
0,2,36,164,106,3,3,2,0,2,3,10,161,122.87916666666666
1,2,36,218,106,3,3,1,5,1,9,9,186,0.08194444444444443
0,32,1,286,166,3,5,2,5,2,10,10,126,0.17708333333333334
1,33,36,291,106,3,5,1,7,1,1,1,170,3.9222222222222216
1,34,10,107,106,2,5,1,0,1,1,1,158,10.726388888888891
0,34,12,24,114,1,5,2,0,2,1,8,151,107.04583333333332
0,34,11,314,106,1,9,2,1,2,5,0,171,38.62291666666667
0,2,20,241,106,3,5,2,5,2,2,2,198,0.075
0,2,17,316,106,1,5,2,5,2,7,7,105,3.89375
0,34,36,349,56,3,3,2,7,2,7,7,146,1.6298611111111112
1,12,33,218,106,2,5,1,5,1,1,1,137,10.097916666666666
0,13,36,275,106,2,5,2,5,2,3,3,146,2.0395833333333333
1,34,1,291,106,3,0,1,5,1,6,6,138,5.289583333333334
0,12,30,107,106,1,9,0,7,0,11,11,136,1.9840277777777775
1,33,36,231,106,2,5,1,5,1,10,9,118,10.753472222222221
1,2,33,218,106,1,5,1,0,1,5,5,148,15.081944444444444
1,34,10,261,106,1,5,1,5,1,0,0,130,3.848611111111111
0,2,10,282,106,3,5,2,5,2,6,6,127,0.14305555555555555
0,2,10,282,106,3,5,2,5,2,1,1,169,2.0798611111111107
0,2,36,65,106,3,5,2,5,2,0,0,116,0.9458333333333332
1,2,33,240,166,2,5,1,7,1,8,8,140,22.094444444444445
1,34,20,65,106,1,5,1,0,1,1,1,166,6.204861111111112
0,14,33,99,106,3,7,2,5,2,7,7,118,2.980555555555556
0,34,30,315,97,3,3,2,5,2,7,7,125,0.4986111111111111
1,32,36,275,106,3,5,1,5,1,10,10,152,1.1541666666666666
1,32,36,275,106,3,5,1,5,1,1,1,154,0.2875
1,2,10,174,106,3,0,1,5,1,10,10,133,0.7756944444444445
1,2,33,218,106,3,5,1,5,1,8,8,163,3.079861111111111
1,2,33,218,106,3,5,1,5,1,1,11,155,4.03125
1,2,33,218,106,3,9,1,5,1,1,1,155,0.9555555555555556
1,26,33,274,166,1,5,1,5,1,1,10,141,66.07291666666667
1,2,30,236,166,2,5,1,5,1,9,9,126,6.933333333333334
0,34,1,313,166,3,5,2,5,2,2,2,168,1.0993055555555555
0,32,33,105,106,3,5,2,5,2,5,5,164,3.0
0,32,33,105,106,3,5,2,0,2,10,10,181,349.1138888888889
1,12,36,118,95,3,5,1,5,1,10,10,128,0.12222222222222222
0,12,1,36,125,3,5,2,5,2,3,2,179,1.8756944444444448
1,2,36,240,166,3,5,1,5,1,5,5,133,1.1541666666666666
1,32,33,274,166,3,5,1,7,1,0,1,143,119.96527777777777
0,26,36,218,106,3,5,2,5,2,1,1,94,1.0854166666666667
1,2,33,218,106,3,5,1,5,1,1,1,94,1.3097222222222222
0,34,10,309,95,2,5,2,5,2,6,5,133,6.064583333333332
1,35,30,266,166,1,5,1,7,1,1,1,156,10.027777777777779
0,34,1,274,166,3,5,2,5,2,2,2,130,1.1736111111111112
1,2,33,65,106,1,0,1,0,1,1,1,135,0.9465277777777776
0,34,10,24,97,1,5,2,5,2,0,0,106,2.9715277777777778
1,32,33,107,106,3,5,1,5,1,0,0,118,3.39375
1,32,33,107,106,3,5,1,5,1,7,7,134,0.029166666666666667
1,32,33,107,106,3,5,1,5,1,7,7,146,0.08611111111111111
1,33,36,309,166,3,3,1,5,1,4,4,152,2.152083333333333
0,33,36,95,106,2,5,2,5,2,4,4,127,0.23819444444444446
1,32,33,274,166,3,5,1,5,1,6,6,120,1.2458333333333331
0,35,36,181,29,3,5,2,5,2,9,9,159,4.832638888888889
0,10,10,24,166,2,5,2,0,2,4,0,99,13.005555555555556
0,2,36,218,106,3,5,2,5,2,1,1,130,0.7604166666666666
1,2,36,218,106,3,5,1,5,1,8,8,111,3.758333333333333
1,2,33,218,106,3,5,1,0,1,4,0,95,31.36597222222223
1,13,36,88,166,3,5,1,7,1,7,7,120,7.040277777777778
0,34,30,13,106,3,5,2,5,2,4,4,103,0.05416666666666667
0,21,33,269,106,0,9,2,3,2,2,2,138,0.02986111111111112
0,2,33,217,120,3,5,2,3,2,7,7,98,4.267361111111111
1,2,33,274,97,3,5,1,5,1,5,5,150,4.341666666666667
1,2,33,274,97,3,5,1,5,1,7,6,164,2.8569444444444443
1,2,33,274,97,3,0,1,7,1,10,9,167,14.005555555555556
1,2,33,274,97,3,3,1,5,1,3,3,159,4.323611111111111
1,26,36,116,166,3,0,1,5,1,6,6,131,0.08888888888888889
1,32,36,358,106,3,5,1,5,1,2,2,126,0.5486111111111112
0,18,36,274,50,1,5,2,0,2,10,7,99,79.74375
0,2,10,174,106,1,5,2,7,2,5,5,106,3.236111111111111
